Test Object: 1 is classified as: Iris-setosa, Actual result is: Iris-setosa
Test Object: 2 is classified as: Iris-setosa, Actual result is: Iris-setosa
Test Object: 3 is classified as: Iris-virginica, Actual result is: Iris-virginica
Test Object: 4 is classified as: Iris-setosa, Actual result is: Iris-setosa
Test Object: 5 is classified as: Iris-virginica, Actual result is: Iris-virginica
Test Object: 6 is classified as: Iris-virginica, Actual result is: Iris-virginica
Test Object: 7 is classified as: Iris-versicolor, Actual result is: Iris-versicolor
Test Object: 8 is classified as: Iris-virginica, Actual result is: Iris-virginica
Test Object: 9 is classified as: Iris-versicolor, Actual result is: Iris-versicolor
Test Object: 10 is classified as: Iris-virginica, Actual result is: Iris-virginica
Test Object: 11 is classified as: Iris-versicolor, Actual result is: Iris-versicolor
Test Object: 12 is classified as: Iris-virginica, Actual result is: Iris-virginica
Test Object: 13 is classified as: Iris-virginica, Actual result is: Iris-virginica
Test Object: 14 is classified as: Iris-virginica, Actual result is: Iris-virginica
Test Object: 15 is classified as: Iris-versicolor, Actual result is: Iris-versicolor
Test Object: 16 is classified as: Iris-versicolor, Actual result is: Iris-versicolor
Test Object: 17 is classified as: Iris-virginica, Actual result is: Iris-virginica
Test Object: 18 is classified as: Iris-virginica, Actual result is: Iris-virginica
Test Object: 19 is classified as: Iris-setosa, Actual result is: Iris-setosa
Test Object: 20 is classified as: Iris-virginica, Actual result is: Iris-virginica
Test Object: 21 is classified as: Iris-virginica, Actual result is: Iris-virginica
Test Object: 22 is classified as: Iris-setosa, Actual result is: Iris-setosa
Test Object: 23 is classified as: Iris-virginica, Actual result is: Iris-virginica
Test Object: 24 is classified as: Iris-versicolor, Actual result is: Iris-versicolor
Test Object: 25 is classified as: Iris-versicolor, Actual result is: Iris-versicolor
Test Object: 26 is classified as: Iris-virginica, Actual result is: Iris-virginica
Test Object: 27 is classified as: Iris-versicolor, Actual result is: Iris-versicolor
Test Object: 28 is classified as: Iris-virginica, Actual result is: Iris-virginica
Test Object: 29 is classified as: Iris-setosa, Actual result is: Iris-setosa
Test Object: 30 is classified as: Iris-virginica, Actual result is: Iris-virginica
Number correct: 30/30, Accuracy: 100.0%
